FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
73,73.5,0.5,0.039621837,0.00010408819,0.032975107,0.0018687511,0.004195635,0.6324873,22.423555,5.5946486e-05,0.32039842,6.8618675e-07,1.4550789e-13,0.031572036,0.11218868,0.94304174,0.031358093,0.097434714,0.33377114,2.9688792
74,74.5,0.5,0.04330107,0.00012502699,0.03524867,0.0018203337,0.004100276,0.5836792,22.18837,5.4910863e-05,0.30160978,7.95067e-07,1.5835121e-13,0.031104904,0.10451929,0.94032633,0.030964475,0.106137745,0.37796244,3.0188239
75,75.5,0.5,0.04621191,0.00013886015,0.036058787,0.0013680408,0.004106042,0.5431292,22.803736,5.7093468e-05,0.2999031,5.481197e-07,1.1819042e-13,0.02962314,0.09769849,0.9223632,0.031150937,0.117217496,0.41462687,3.024332
76,76.5,0.5,0.05020596,0.00014681077,0.03436126,0.0019537094,0.0043267393,0.47466722,22.36382,5.770515e-05,0.27527454,3.1963276e-07,8.165063e-14,0.027312497,0.077475786,0.9048037,0.028915059,0.12238329,0.43714574,2.9734674
77,77.5,0.5,0.0591639,0.00018382267,0.03792124,0.0013674443,0.0048674387,0.47211584,23.76256,6.1151855e-05,0.2756388,2.8441409e-07,6.825361e-14,0.029497832,0.06936538,0.9166287,0.028303867,0.12274704,0.4495466,2.9790194
78,78.5,0.5,0.06267637,0.00015854301,0.038772684,0.0015445877,0.0052621374,0.42383745,23.677303,6.455999e-05,0.25286597,3.8681486e-07,6.4989606e-14,0.029973594,0.059769716,0.923643,0.029404264,0.11639555,0.43896496,2.9406962
79,79.5,0.5,0.07544403,0.00018097326,0.043498036,0.0013296211,0.00576796,0.44511446,25.422295,7.08118e-05,0.27449825,6.9854997e-07,1.0101575e-13,0.035883907,0.051221788,0.96908885,0.034587003,0.11557812,0.45981872,3.0575392
80,80.5,0.5,0.08804755,0.00021147565,0.04911926,0.0014848484,0.006148984,0.48015785,26.316694,7.2766976e-05,0.2967674,1.1629456e-06,2.4363416e-13,0.04207956,0.04367123,0.99770534,0.03492322,0.11416948,0.47707155,3.08379
81,81.5,0.5,0.10857042,0.00028228108,0.058384478,0.001755065,0.006390007,0.51944053,27.459087,7.229567e-05,0.31596106,1.6591907e-06,1.1094319e-12,0.05086822,0.049876228,1.0787199,0.038438197,0.11915978,0.5370775,3.367617
82,82.5,0.5,0.16640499,0.00040912098,0.0762224,0.0009991743,0.0074097044,0.63711375,30.19908,7.38571e-05,0.35645422,2.4946187e-06,8.9865285e-12,0.062415227,0.08689816,1.1808372,0.048923217,0.12810709,0.6019172,3.7800598
83,83.5,0.5,0.24047394,0.00061987643,0.09286567,0.0006638807,0.009425026,0.73331326,32.162964,7.9553305e-05,0.37251064,2.985221e-06,7.418858e-11,0.06953156,0.13605112,1.1977606,0.05432044,0.1253681,0.6105124,3.911498
84,84.5,0.5,0.24480483,0.0010054867,0.10217735,0.0007629514,0.010546844,0.73926944,31.814531,8.003947e-05,0.3684358,2.8666545e-06,5.095118e-10,0.06325596,0.1490968,1.165861,0.048834413,0.11813796,0.56740737,3.7779825
85,85.5,0.5,0.26454946,0.0017374008,0.12044219,0.0009453722,0.010657406,0.7503245,31.59777,8.0709535e-05,0.36644,2.7616802e-06,4.2677137e-09,0.058455,0.16671832,1.1288637,0.049096923,0.11337793,0.53282773,3.662854
86,86.5,0.5,0.31152412,0.0026854523,0.1480308,0.0013741003,0.011857051,0.7647149,31.563663,8.228875e-05,0.36652723,2.6249968e-06,1.809719e-08,0.057752885,0.18572557,1.0980085,0.055206902,0.12193333,0.53701305,3.6390119
87,87.5,0.5,0.3615634,0.003753638,0.17361304,0.0018938262,0.01292709,0.79253113,31.547531,8.214527e-05,0.36479858,2.3025084e-06,3.2682546e-08,0.05770516,0.19277117,1.060856,0.06284581,0.13043639,0.5543741,3.634449
88,88.5,0.5,0.39501163,0.0045554317,0.18089803,0.0019469716,0.012062719,0.8299975,31.782373,8.082196e-05,0.36048868,1.86345e-06,4.833646e-08,0.05107193,0.16368835,1.0330058,0.06041853,0.13900323,0.57780993,3.6362512
89,89.5,0.5,0.42478448,0.005806899,0.1957237,0.0016611005,0.010139593,0.8634028,32.269897,7.967236e-05,0.35208926,1.7535115e-06,1.247135e-07,0.044549715,0.14285946,1.0283788,0.05965274,0.15314099,0.6192538,3.7132697
90,90.5,0.5,0.49245244,0.0069766063,0.22701119,0.0015701905,0.009530818,0.8743287,32.836533,7.6005206e-05,0.34634945,2.4489566e-06,5.2484074e-07,0.04320361,0.15052605,1.04429,0.069795564,0.17477834,0.6999259,3.9277892
91,91.5,0.5,0.5752637,0.0071420926,0.24837083,0.0015158462,0.009296384,0.8770698,33.376987,7.521549e-05,0.34112507,2.7856242e-06,9.561277e-07,0.03959518,0.14997074,1.0565723,0.083472624,0.19317126,0.7674442,4.1115294
92,92.5,0.5,0.6695021,0.0071372096,0.25410584,0.0015058938,0.012049669,0.8705595,33.776386,7.570955e-05,0.3347944,2.0278228e-06,7.685778e-07,0.03355369,0.13391478,1.0704843,0.098221175,0.20834342,0.8147739,4.2546134
93,93.5,0.5,0.7487456,0.007318997,0.2564361,0.0016133498,0.016292455,0.8613559,33.992817,7.714469e-05,0.3322945,1.2508216e-06,3.813317e-07,0.029340819,0.11552996,1.0744742,0.1003866,0.21363443,0.8365108,4.307511
94,94.5,0.5,0.78790504,0.0076416936,0.27333495,0.0018147846,0.022999382,0.85290474,34.018764,7.849366e-05,0.33211145,1.0281982e-06,3.1058906e-07,0.027607447,0.105245516,1.0646229,0.09728801,0.20990583,0.8369175,4.2854347
95,95.5,0.5,0.7826689,0.007874141,0.29993978,0.0020313447,0.02651793,0.84931237,33.999203,7.950988e-05,0.33097127,7.1548646e-07,2.9792844e-07,0.026943462,0.10321046,1.0504892,0.08931185,0.20235763,0.82662684,4.232336
96,96.5,0.5,0.6988994,0.0069310074,0.28928798,0.0019204378,0.022931581,0.85947573,34.0257,7.613949e-05,0.32745233,4.8645444e-07,3.2338585e-07,0.025546325,0.1010102,1.0387154,0.08130418,0.19623685,0.8148466,4.1801176
97,97.5,0.5,0.5757689,0.0050656283,0.21970047,0.0015144898,0.017736126,0.8732505,34.185703,7.415766e-05,0.32266298,3.7315584e-07,1.0996933e-07,0.023647709,0.09752317,1.0245703,0.073519625,0.18965434,0.7989596,4.1160274
98,98.5,0.5,0.47144318,0.0032864749,0.14103568,0.001057913,0.0105653005,0.88413316,34.340122,7.403836e-05,0.31888032,2.875934e-07,4.0095262e-08,0.022434067,0.09379219,1.0109216,0.06938455,0.18394129,0.78298366,4.055123
99,99.5,0.5,0.39821687,0.002184068,0.089936465,0.0005124374,0.004770244,0.88917184,34.405937,7.315975e-05,0.31419897,2.1831214e-07,1.7679287e-08,0.022249179,0.089565046,1.000454,0.068228394,0.18025735,0.7735622,4.0205255
100,100.5,0.5,0.35806367,0.001484518,0.06915503,0.00035567445,0.0037704445,0.8916484,34.359756,7.239963e-05,0.3098466,1.718599e-07,9.625212e-09,0.022317257,0.08715363,0.9962232,0.06804645,0.17828314,0.77063185,4.011335
101,101.5,0.5,0.3349734,0.00077867345,0.046073526,0.0002797207,0.0033596195,0.8870149,34.26406,7.2378425e-05,0.30669057,1.3533692e-07,2.5906774e-10,0.022536697,0.08561564,0.9908385,0.067338735,0.1747266,0.76623875,3.9932482
102,102.5,0.5,0.31664425,0.0004661306,0.038365725,0.0002142786,0.0031333207,0.87834877,34.100563,7.2248025e-05,0.3028134,1.0534514e-07,4.259621e-12,0.022736862,0.085085556,0.9823016,0.06621819,0.17015257,0.7592012,3.960841
103,103.5,0.5,0.2963423,0.00028768356,0.03310999,0.00016165491,0.0028344472,0.86635506,33.853153,7.1866176e-05,0.29586798,7.296885e-08,3.407192e-13,0.02276966,0.08371139,0.9731359,0.06486068,0.16593595,0.7484051,3.922288
